"","index","X","id","ano","anoconc","conc","cust","cust_km","rec","rec_km","tar","mat","avg","etp","npp","ext","value","fator","coef_adj","cust_adj","rec_adj","cust_km_adj","rec_km_adj","tar_adj"
"57",2015 jan,57,57,2015,"2015MGORODOVIAS","MGORODOVIAS",305546,699.830017089844,111421,255.199996948242,3.40000009536743,263,4,3,6,436.600006103516,4110.2,1.11702106953433,1.10705805070313,338257.159160138,123349.515067393,774.752987703667,282.52293482137,3.76399747796792
"58",2016 jan,58,58,2016,"2016MGORODOVIAS","MGORODOVIAS",289937,664.080017089844,181904,416.640014648438,4.05000019073486,629,4,3,6,436.600006103516,4550.23,1.00899954507794,1,289937,181904,664.079239456669,416.637648779307,4.05000019073486
"59",2015 jan,59,59,2015,"2015MSVIA","MSVIA",568647,1043.08996582031,89119,105.190002441406,6.09999990463257,108,4,3,9,847.200012207031,4110.2,1.11702106953433,1.10705805070313,629525.239358182,98659.9064206121,743.065663701082,116.454089942226,6.75305400371181
"60",2016 jan,60,60,2016,"2016MSVIA","MSVIA",620472,506.209991455078,291888,344.529998779297,6.19999980926514,474,3,3,9,847.200012207031,4550.23,1.00899954507794,1,620472,291888,732.379592846813,344.532572939424,6.19999980926514
"61",2012 jan,61,61,2012,"2012NOVADUTRA","NOVADUTRA",776488,1931.56005859375,1050626,2613.5,10.0900001525879,5996,4,1,3,402,3422.79,1.34135602826934,1.32939210410221,1032257.01613012,1396693.90876449,2567.80352271173,3474.36295712559,13.4135665332404
"62",2013 jan,62,62,2013,"2013NOVADUTRA","NOVADUTRA",801746,1994.39001464844,1113905,2770.90991210938,10.1499996185303,6361,5,1,3,402,3633.44,1.26359042670307,1.25232011537276,1004042.64321965,1394965.63811429,2497.61851547176,3470.06377640372,12.7110486933113
"63",2014 jan,63,63,2014,"2014NOVADUTRA","NOVADUTRA",876041,2179.2099609375,1150439,2861.7900390625,10.9099998474121,6726,4.25,1,3,402,3836.37,1.19675109543657,1.1860769425264,1039052.03080777,1364509.17168313,2584.70654429793,3394.30142209733,12.940099261982
"64",2015 jan,64,64,2015,"2015NOVADUTRA","NOVADUTRA",869002,2161.69995117188,1168369,2906.38989257812,12.7399997711182,7091,4,1,3,402,4110.2,1.11702106953433,1.10705805070313,962035.66017712,1293452.30764196,2393.12353277891,3217.54305383573,14.1039193125724
"65",2016 jan,65,65,2016,"2016NOVADUTRA","NOVADUTRA",867000,2156.71997070312,1210658,3011.59008789062,13.8500003814697,7457,4,1,3,402,4550.23,1.00899954507794,1,867000,1210658,2156.71641791045,3011.58706467662,13.8500003814697
"66",2012 jan,66,66,2012,"2012RODOVIADOACO","RODOVIADOACO",123899,618.260009765625,71239.28125,71239.28125,4.5,123899,4,2,3,200.399993896484,3422.79,1.34135602826934,1.32939210410221,164710.35230616,94704.9379956666,821.907970672096,472.579545309697,5.98226446845994
"67",2013 jan,67,67,2013,"2013RODOVIADOACO","RODOVIADOACO",125090,624.200012207031,79966,79966,4.59999990463257,125090,5,2,3,200.399993896484,3633.44,1.26359042670307,1.25232011537276,156652.723231979,100143.030345898,781.700239536419,499.715735508588,5.76067241128414
"68",2014 jan,68,68,2014,"2014RODOVIADOACO","RODOVIADOACO",144653,721.820007324219,78579,78579,4.5,144653,4,2,3,200.399993896484,3836.37,1.19675109543657,1.1860769425264,171569.587967271,93200.7400667819,856.135694574396,465.073567392045,5.33734624136879
"69",2015 jan,69,69,2015,"2015RODOVIADOACO","RODOVIADOACO",74444,371.480010986328,78482,78482,5,74444,4,2,3,200.399993896484,4110.2,1.11702106953433,1.10705805070313,82413.8295265437,86884.129935283,411.246666849273,433.553555795828,5.53529025351564
"70",2016 jan,70,70,2016,"2016RODOVIADOACO","RODOVIADOACO",74532,371.920013427734,87876,87876,6,74532,5,2,3,200.399993896484,4550.23,1.00899954507794,1,74532,87876,371.916178991998,438.503007367316,6
"71",2012 jan,71,71,2012,"2012TRANSBRASILIANA","TRANSBRASILIANA",91885,285.709991455078,85455.7265625,265.720001220703,3.29999995231628,91885,4,2,4,321.600006103516,3422.79,1.34135602826934,1.32939210410221,122151.193485431,113604.168142505,379.823355619321,353.246784783761,4.38699388014693
"72",2013 jan,72,72,2013,"2013TRANSBRASILIANA","TRANSBRASILIANA",165802,515.549987792969,90316,280.829986572266,3.5,165802,4,2,4,321.600006103516,3633.44,1.26359042670307,1.25232011537276,207637.179769034,113104.543540006,645.637984540959,351.693225725874,4.38312040380466
"73",2014 jan,73,73,2014,"2014TRANSBRASILIANA","TRANSBRASILIANA",158139,491.730010986328,96640,300.5,3.70000004768372,158139,5,2,4,321.600006103516,3836.37,1.19675109543657,1.1860769425264,187565.021614182,114622.475725751,583.224558627058,356.413164024806,4.38848474390424
"74",2015 jan,74,74,2015,"2015TRANSBRASILIANA","TRANSBRASILIANA",131033,407.440002441406,93270,290.019989013672,4.30000019073486,131033,4,2,4,321.600006103516,4110.2,1.11702106953433,1.10705805070313,145061.137557783,103255.304389081,451.060742552011,321.067482678608,4.76034982917802
"75",2016 jan,75,75,2016,"2016TRANSBRASILIANA","TRANSBRASILIANA",88809,276.149993896484,103408,321.540008544922,4.80000019073486,88809,4,2,4,321.600006103516,4550.23,1.00899954507794,1,88809,103408,276.147382818812,321.542282454793,4.80000019073486
"76",2016 jan,76,76,2016,"2016VIA040","VIA040",394679,421.309997558594,290146,309.720001220703,4.80000019073486,520,4.01000022888184,3,11,936.799987792969,4550.23,1.00899954507794,1,394679,290146,421.305513602572,309.720328544797,4.80000019073486
"77",2015 jan,77,77,2015,"2015VIA040","VIA040",573779,612.489990234375,136867,146.100006103516,3.95000004768372,154,4,3,11,936.799987792969,4110.2,1.11702106953433,1.10705805070313,635206.661274391,151519.714225585,678.060065703983,161.741797822344,4.37287935306601
"78",2012 jan,78,78,2012,"2012VIABAHIA","VIABAHIA",322192,473.390014648438,209910.34375,308.420013427734,2.29999995231628,755,3.98000001907349,2,7,680.599975585938,3422.79,1.34135602826934,1.32939210410221,428319.500804899,279053.15355063,629.326353466517,410.010525360936,3.05760177604472
"79",2013 jan,79,79,2013,"2013VIABAHIA","VIABAHIA",475457,698.590026855469,226509,332.809997558594,2.17000007629395,1120,2.99000000953674,2,7,680.599975585938,3633.44,1.26359042670307,1.25232011537276,595424.365094786,283661.777012968,874.852169340995,416.781938272566,2.71753474590334
"80",2014 jan,80,80,2014,"2014VIABAHIA","VIABAHIA",546233,802.580017089844,232367,341.420013427734,2.21000003814697,1485,3,2,7,680.599975585938,3836.37,1.19675109543657,1.1860769425264,647874.366547022,275605.140904032,951.916529220058,404.944388466602,2.62123008822858
"81",2015 jan,81,81,2015,"2015VIABAHIA","VIABAHIA",365658,537.260009765625,239830,352.380004882812,2.30999994277954,1850,3.99000000953674,2,7,680.599975585938,4110.2,1.11702106953433,1.10705805070313,404804.632704005,265505.732300131,594.776149316642,390.105409674095,2.55730403377786
"82",2016 jan,82,82,2016,"2016VIABAHIA","VIABAHIA",335135,492.410003662109,245896,361.290008544922,2.53999996185303,2216,3.98000001907349,2,7,680.599975585938,4550.23,1.00899954507794,1,335135,245896,492.411125509485,361.292989745268,2.53999996185303
